anime_id,votes_count
1535,238789
16498,216766
11757,209918
5114,201610
4224,196189
6547,194652
1575,193769
9253,192782
20,180243
10620,178385
30276,176236
19815,175013
22319,171531
226,171170
2167,167541
5081,165695
20507,163679
6746,162057
199,160967
2001,159159
9919,158689
2904,157370
32281,157290
11111,156612
269,156236
31964,155493
3588,154925
9989,154373
8074,152482
30,149799
13601,149711
23273,148721
6702,148601
1735,148126
31240,147749
31043,147063
849,146587
1,145973
121,145359
18679,144767
21881,143386
22199,142882
9756,142181
15809,141561
25777,140766
10087,138530
12189,138084
22535,136812
11061,136641
14813,136280
28223,136116
14741,136039
30831,135974
28851,134797
4181,134729
10793,134249
5680,134245
21,132404
33486,130765
23755,129890
13759,128958
2025,128834
6880,128241
28171,126863
1689,126092
24833,125309
7054,124686
27899,124290
934,124113
18153,123051
205,122175
356,122147
28121,122092
28999,121759
4898,121327
2251,121296
11617,120675
853,120033
431,119929
164,119034
918,118986
32182,118045
18897,117584
2966,117431
23283,116844
29803,115119
17265,115078
14227,114745
2236,113867
4654,113321
1195,113280
38000,112423
889,112417
30503,111857
33352,111356
20583,111132
1210,110798
8769,109519
6045,109419
10719,109188
36456,108605
13125,108424
11741,107772
1887,106686
26243,106631
11887,106260
457,106050
35760,105161
23289,104722
32937,104490
227,104281
14513,103901
14345,103388
15583,102243
11843,101472
17895,101116
20785,101023
813,100827
355,100328
523,100001
2476,99868
11771,99321
10165,99294
8525,99074
20787,98792
14719,98790
11597,98525
34134,98223
6347,98025
30015,97918
5630,97828
1482,97788
1818,97420
16592,97366
37779,97212
35849,97136
245,96933
34599,96926
2993,96087
23847,95862
14467,95523
19,95407
8841,95208
777,94028
11759,93435
16782,93146
22297,93024
34933,92190
7724,92139
12355,91879
31478,91852
37999,91811
33206,91597
37450,91334
790,91131
7674,90821
30240,90769
10408,90342
223,90037
270,90031
339,90018
16742,89829
35790,89585
7311,89407
4382,88984
8425,88630
7791,88363
27775,88287
32282,88275
38524,88071
6,88007
24439,87524
4081,87472
3455,87430
28623,86684
11499,86368
71,86194
3457,85981
28907,85919
14075,85843
249,85780
22789,85467
38691,84335
6213,84218
59,83985
2034,83931
47,83630
30654,83592
5681,83524
9041,83326
15451,82617
32,82267
29786,82252
16067,82127
25013,81988
11633,81665
35062,81572
8675,81569
21995,81514
43,81295
28677,80938
28891,80915
22147,80818
6594,80718
10162,80001
30296,79883
32542,79809
17074,79640
31859,79308
2593,79146
37430,79001
38408,78882
1604,78823
25157,78766
32615,78716
237,78320
18671,78187
578,78145
15315,78029
14289,77835
527,77826
37349,77359
18507,77249
28701,77173
1889,77137
1840,77121
6956,77117
31798,76995
5530,76869
7593,76718
18115,76713
18277,76310
877,76014
37510,75780
5958,74606
9513,74564
23277,74293
30484,74279
11013,74203
11577,74161
32729,73954
33487,73938
28297,73561
14967,73547
2605,73445
28497,73170
34572,73161
10110,73127
37520,73098
15689,72964
120,72431
23281,72412
35073,72288
8861,72247
22043,71938
30307,71848
17729,71663
35507,71341
32949,71259
5341,71188
15225,71108
16894,70984
31646,70928
45,70763
33,70655
22729,70556
34577,70223
28825,70149
32901,70036
228,70020
392,69928
12445,69807
35788,69617
20899,69450
27787,69429
10800,69385
7088,69064
1519,68994
3712,68983
35968,68972
1943,68921
7647,68896
10863,68714
1691,68675
13659,68674
38671,68635
37521,68247
14749,68132
33674,68060
32935,68024
28927,67976
21603,67943
25183,67832
24,67705
25835,67608
150,67596
36511,67383
39587,67327
35120,67175
2104,67175
437,67057
34902,67046
101,66969
36474,66852
2759,66821
23321,66743
32998,66726
30123,66489
6573,66487
14833,66468
7817,66361
24703,66251
23233,65911
14713,65429
10080,65337
8937,64845
30544,64714
225,64688
19163,64562
9260,64558
4063,64500
33255,64463
4975,64204
512,64178
31442,64153
40028,64132
11433,64124
32995,64092
4214,64078
6707,64068
23199,64005
31580,63956
9289,63745
8676,63454
3470,63427
19221,63358
1698,63275
4059,63253
40591,63235
31765,63086
33489,63049
66,63043
16011,62821
467,62673
15051,62436
32951,62425
27631,62421
232,62420
40748,62316
2924,62056
33506,62034
10721,61852
11285,61784
24765,61381
7785,61378
5682,61329
34280,61193
1530,60984
31404,60922
3784,60801
26055,60731
861,60587
2787,60349
8630,60326
34542,60207
513,60005
31637,59834
9379,59830
9656,59727
6114,59664
31339,59304
21405,59292
31636,59239
857,59231
37675,59196
27989,59164
4752,59121
12549,59100
12531,59080
25397,59048
20031,58990
430,58922
17549,58821
11785,58673
202,58620
323,58555
57,58526
34618,58388
24415,58353
79,58345
10790,58205
31933,58058
37141,58019
8516,58008
21843,57773
16,57680
7769,57576
20853,57519
10163,57438
16417,57416
10495,57327
20541,57241
40221,57059
10161,56879
25159,56627
16524,56113
34561,56092
384,56071
34822,56066
9969,55943
263,55891
8795,55866
2418,55771
4725,55766
13655,55476
21431,55446
32867,55360
72,55351
11319,55279
13161,55252
189,55212
2890,55201
36949,55186
37105,55149
37347,55134
6211,55071
572,55066
6500,55027
36038,54875
19369,54793
31722,54637
21855,54538
6512,54479
12413,54355
31181,54301
6351,53907
31953,53805
552,53780
38826,53734
387,53553
10568,53489
6205,53468
26349,53400
36296,53399
21327,53271
10030,53178
9062,53172
10396,53066
1726,52998
154,52972
136,52916
12293,52863
2026,52734
28249,52698
28025,52474
35839,52369
32105,52311
23673,52308
268,52288
33731,52220
9367,52005
37210,51897
9515,51879
15379,51642
32093,51454
16762,51274
38101,51254
4896,51209
486,51094
5042,51083
3782,51058
2129,50998
11933,50965
17247,50963
39617,50906
12291,50856
530,50844
3731,50843
36475,50834
60,50814
30694,50772
68,50726
36098,50642
73,50611
16706,50564
11981,50522
18397,50455
10067,50432
33988,50386
35860,50287
1686,49912
16918,49883
34240,49824
34881,49779
5356,49745
39195,49734
177,49710
8086,49587
28805,49516
41353,49456
27831,49198
16049,49176
34566,49148
37086,49131
8424,49053
5060,49024
14349,48740
3503,48549
9181,48361
7592,48314
34662,48299
5,48231
44,48199
1571,48048
34798,48009
433,47948
29095,47822
3783,47818
28977,47803
3785,47802
35557,47777
317,47760
6675,47656
39547,47635
34382,47622
4282,47582
4722,47564
64,47560
7059,47545
14199,47514
18247,47398
13663,47373
5300,47344
15037,47291
481,47237
3002,47229
10213,47104
37982,47094
27821,46993
6747,46922
20689,46921
11703,46864
10588,46842
2963,46783
18677,46737
34403,46609
12365,46597
5909,46462
38680,46445
8407,46439
9617,46343
21863,46286
10521,46279
239,46265
35994,46147
40839,46093
1222,46074
38040,46050
1292,45869
240,45859
31163,45852
1559,45835
22877,45798
31757,45760
37976,45753
37991,45743
20021,45728
13535,45614
7193,45493
442,45467
7338,45441
16001,45366
4280,45363
32686,45356
585,45336
25781,45330
10490,45324
33502,45323
31758,45220
16009,45209
376,45205
2926,45177
2246,45082
39597,45081
6682,45007
36563,44984
28735,44869
820,44824
3702,44712
5030,44577
38659,44547
36896,44400
357,44375
28725,44360
24455,44354
36649,44353
27833,44348
21085,44338
22135,44329
6324,44293
32380,44271
20767,44252
34497,44248
35203,44221
2889,44215
528,44212
26,44052
37799,44036
27655,44007
9863,43928
20057,43911
30911,43694
10020,43612
11761,43552
22265,43516
12467,43491
34934,43444
22101,43381
32828,43314
38883,43289
12477,43253
1827,43240
37171,43128
329,43102
6773,43096
19429,43057
16870,43037
3958,42785
3167,42761
42897,42756
145,42744
14829,42731
31376,42678
25537,42656
759,42522
20047,42439
14131,42236
7711,42128
4901,42118
14353,42043
32887,41995
31737,41989
21561,41877
21647,41821
5525,41722
8129,41705
134,41633
4789,41596
4999,41539
36882,41522
32262,41422
40852,41375
6201,41362
169,41351
32902,41277
2472,41257
10379,41146
30749,41110
5205,41095
6922,41086
3342,41081
13599,41074
32899,41055
2923,41053
3655,40991
9941,40960
31704,40924
33926,40915
12175,40894
31764,40892
15085,40860
5204,40717
61,40713
3901,40702
